Group,Question_Arabic,Question_English,ESTJ_Arabic,ESTJ_English,INFP_Arabic,INFP_English,Rank,title1,title2
Affinity,في المناسبات الإجتماعية في الغالب ...,On mostly social occasions ...,تقوم بتعريف الناس ببعضهم البعض,You introduce people to each other,يقوم الناس بتعريفك للآخرين,People define you to others,1,Extrovert,Introvert
Affinity,هل يقول معظم الناس عنك إنك شخصية,Do most people say about you that you are a person?,منفتحة على الناس,Open to people,متحفظة,Conservative,1,Extrovert,Introvert
Affinity,وجودك وسط مجموعة كبيرة من الناس يجعلك,Your presence among a large group of people makes you,أكثر نشاطا,More active,يستنفذ طاقتك,It exhausts your energy,3,Extrovert,Introvert
Affinity,في المناسبات الأجتماعية,On social occasions,غالبا ما أقضى وقتا ممتعا,I often spend a fun time,غالبا أشعر بالملل,I often feel bored,2,Extrovert,Introvert
Affinity,فى العادة غالبا تحب,Usually you often love,الاختلاط بالناس,Mixing people,أن تكون بمفردك,To be alone,1,Extrovert,Introvert
Affinity,عندما يجمعك المكان مع أشخاص غرباء,When the place brings you together with strangers,تجد من السهل جدا التحدث معهم,You find it very easy to talk to them,تجد من الصعب عليك أن تبدأ الحوار و الاستمرار فيه,You can find it difficult for you to start dialogue and continue,1,Extrovert,Introvert
Affinity,هل يمكن للأشخاص الذين تلتقي بهم لأول مرة أن يعرفوا إهتماماتك,Can the people you meet for the first time know your interests?,بسهولة جدا,Very easily,فقط بعدما ما يتعرفوا علي جيدا,Only after they get to know me well,1,Extrovert,Introvert
Affinity,في المناسبات الإجتماعية ..,On social occasions ..,تكون من أكثر الناس حديثا,Be one of the most modern people,تكون من أكثر الناس إستماعا,Be one of the most listening people,1,Extrovert,Introvert
Affinity,لكي أفهم الموضوع بصورة أفضل,To better understand the topic,اتبادل الحديث حوله مع الآخرين,I exchange talk about him with others,أحلله داخل عقلي قبل أن أتحدث عنه,I analyze it inside my mind before I talk about it,1,Extrovert,Introvert
Affinity,عموما أفضل دائما,"Generally, always better",تعلم أشياء جديدة,Learn new things,إتقان المعلومات القديمة و التعمق فيها,Mastering old information and depth it,1,Extrovert,Introvert
Affinity,أسالني سؤال و سوف,Ask me a question and I will,أبدأ بالكلام حتى تتشكل الاجابة,I start with words until the answer is formed,أحتاج إلى وقت للاجابة داخل مخي اولا قبل ان أجاوب بصوت,I need time to answer in my brain first before I answer with a voice,1,Extrovert,Introvert
Affinity,أتكلم عن المواضيع التى تعجبني,I am talking about the topics I like,حينما تطرح تلك المواضيع,When these topics are raised,فقط مع أصدقائي المقربين,Only with my close friends,1,Extrovert,Introvert
Affinity,إذا قدر لى أن أقضي وقتا طويلا بمفردي في الغالب سوف,"If I am estimated to spend a long time alone, I will",أشعر بالملل أو الفتور,I feel bored or apathy,أشعر بالراحة أو الانتعاش,I feel comfortable or recovery,3,Extrovert,Introvert
Affinity,في الغالب أفضل التواصل عن طريق,Mostly I prefer to communicate with,المكالمات الهاتفية,Phone calls,الرسائل النصية,Text messages,1,Extrovert,Introvert
Affinity,في اوقات الفراغ تفضل غالبا تفضل,"In leisure, you often prefer to prefer",الخروج أو التواصل مع الاصدقاء,Exit or communicate with friends,القيام بإي نشاط بمفردك,Do any activity alone,1,Extrovert,Introvert
Collection of information,هل تجد نفسك أكثر إنسجاما مع الاشخاص,Do you find yourself more harmonious with people,الواقعيين,Realistic,أصحاب الخيال الواسع,The owners of the wide imagination,2,Sensing,Intuition
Collection of information,ما هو الوصف الذي تحب أن توصف به,What is the description you like to be described,شخص عملي,practical person,شخص عبقري,Genius,1,Sensing,Intuition
Collection of information,إلى إي نوع من الأصدقاء تميل أكثر,To which kind of friends tend more,العمليون و الواقعيون,The operations and realists,الذين لديهم أفكار جديدة دائما,Those who always have new ideas,1,Sensing,Intuition
Collection of information,هل يشد أنتباهك الشخص,Does the person draw you?,العملي وصاحب الحس السليم,Practical and healthy sense,حاضر البديهة و متوقد الذهن,The present and the perpetrator,1,Sensing,Intuition
Collection of information,ما هي الكلمة الأكثر تعبيرا عن شخصيتك .,What is the most expressive word for your personality.,واحد زائد واحد تساوى إثنين,One plus one equals two,واسع الخيال,Imaginative,3,Sensing,Intuition
Collection of information,عند القيام بعمل متعارف عليه بين الناس,When doing a customary job among people,تتبع الطريقة المتعارف عليها,Follow the accepted method,تحاول أن تبتكر طريقة جديدة,You are trying to create a new way,1,Sensing,Intuition
Collection of information,في الغالب هل تفضل الدراسات التي تتكلم عن,Mostly do you prefer studies that talk about,الحقائق و الأرقام,Facts and numbers,المبادئ و الأفكار,Principles and ideas,1,Sensing,Intuition
Collection of information,عندما تقرأ من أجل المتعة,When you read for fun,تحب لو أن الكاتب صرّح بالمعني الذي يريد أن يصل للقارئ,You like if the writer stated in the sense that he wants to reach the reader,تحب النصوص الغريبة كما أوردها الكاتب,You love strange texts as mentioned by the writer,2,Sensing,Intuition
Collection of information,هل تفضل,do you prefer,العمل بالطريقة المتعارف عليها,Work in the customary way,إكتشاف نقاط الضعف في الطريقة المتعارف عليها و تقديم بديل جديد للعمل به,Discovering weaknesses in the accepted method and presenting a new alternative to work with it,1,Sensing,Intuition
Collection of information,ما هي الكلمة الأكثر تعبيرا عن شخصيتك ..,What is the most expressive word for your personality ..,صلب الموضوع,Crux,نظرة متكاملة,Integrated look,3,Sensing,Intuition
Collection of information,أكثر تفكيرك منصب حول,Your most thinking is about,المشاغل الحالية,Current concerns,الخطط المستقبلية,future plans,1,Sensing,Intuition
Collection of information,بالنسبة إليك التعلم أسهل,"For you, learning is easier",عن طريق التجارب العملية,Through practical experiments,عن طريق قراءة الكتب,By reading books,1,Sensing,Intuition
Collection of information,عند أختيارك حلا من الحلول المقترحة,When choosing a solution to the proposed solutions,تشعر بالإرتياح لإستخدام الطرق التى أثبتت فعاليتها,You feel comfortable using the methods that have proven effective,تكون مشتوقا لتجربة أسلوب جديد,You are eager to try a new style,1,Sensing,Intuition
Collection of information,عند وقوع حدث غريب,When a strange event occurred,تنتظر ظهور الحقيقة و نادرًا ما تنجرف وراء الإحتمالات التى تفسره,The truth is awaiting the emergence of the truth,من السهل عليك أن تتخيل عدة إحتمالات كيف حدث,It is easy for you to imagine several possibilities how happened,1,Sensing,Intuition
Collection of information,في الغالب أفكر في,Mostly I think about,ماذا يحدث الآن,what is happening now,كيف حدث ما حدث,How happened what happened,1,Sensing,Intuition
Make decision,في معظم الاحيان تتخذ القرار,Most of the time you make the decision,بعقلك,With your mind,بقلبك,With your heart,3,Thinking,Feeling
Make decision,هل تميل إلي,Do you tend to me?,تقييم المنطق أكثر من المشاعر,Logic evaluation is more than feelings,تقييم المشاعر أكثر من المنطق,Evaluation of feelings is more than logic,1,Thinking,Feeling
Make decision,ما هي الكلمة الأكثر تعبيرا عن شخصيتك ?,What is the most expressive word for your personality?,صاحب رأي سديد,The owner of a bad opinion,صاحب قلب كبير,The owner of a big heart,2,Thinking,Feeling
Make decision,كيف تحب أن توصف بين الناس,How do you like to be described among people,شخص صاحب منطق ثابت,A person with a fixed logic,شخص ذو إحساس,A person with a feeling,1,Thinking,Feeling
Make decision,إيهما تفضل أكثر من الآخر,They prefer more than the other,التنافس أكثر من التعاطف,Competition is more than sympathy,التعاطف أكثر من التنافس,Poastery is more than competition,1,Thinking,Feeling
Make decision,هل تفضل أن يكون مديرك في العمل شخص,Do you prefer to be your work manager?,فظ حاد الطباع لكنه ذو منطق سليم,"Steps, it is a sound logic",طيب المعشر و متقلب الرؤية,Tayyib Muasher and volatile vision,1,Thinking,Feeling
Make decision,عندما تخطط لإتخاذ قرار هام,When you plan to make an important decision,تقدم الحقائق على مشاعر الناس,The facts are presented to people's feelings,مراعاة أحوال الناس الذين سيؤثر عليهم القرار,Taking into account the conditions of the people who will affect the decision,1,Thinking,Feeling
Make decision,في الغالب ما تقوم ب,Mostly you do,تحليل أحوال الناس,Analysis of people's conditions,مراعاة ظروف الناس,Taking into account the circumstances of the people,2,Thinking,Feeling
Make decision,ما هي الكلمة الأكثر تعبيرا عن شخصيتك ?.,What is the most expressive word for your personality?,قوة الإرادة,Willpower,قوة المشاعر,The power of feelings,3,Thinking,Feeling
Make decision,الحماس للقيام بالعمل,Enthusiasm,أقوم بالعمل سواء كنت متحمسا له أم لا,"I do work, whether you are enthusiastic about him or not",من الصعب على ان أقوم بالعمل إذا لم اكن متحمسا له,It is difficult to do work if I am not enthusiastic about him,1,Thinking,Feeling
Make decision,إذا أصاب صديقك غم شديد ، فمن المرجح أن,"If your friend gets a very cloud, it is likely that",تفكر اولا في الاسباب التى أصابته,Think first about the reasons that afflicted him,تفكر أولا في تقديم الدعم المعنوي له,First you think about providing moral support to him,1,Thinking,Feeling
